Location,Danger Level,WL Observed
Location,Danger Level (mMSL),26-08
06:00 AM,06:00 AM,06:00 AM
Aricha,8.95,7.50
Badarganj,31.70,27.47
Baghabari,9.95,8.53
Bahadurabad,19.05,16.78
Bogra,15.85,11.67
Chakrahimpur,19.70,14.91
Chilmari,23.25,21.17
Dalia,52.15,51.60
Demra,5.30,3.53
Dhaka,5.55,3.52
Elasinghat,10.95,7.84
Fulchari,19.35,16.89
Gaibandha,21.25,18.46
Hariharpara,5.35,3.38
Hatia,24.40,21.85
Jagannathganj,13.55,11.75
Jagir,7.80,5.05
Jamalpur,16.55,10.45
Kaliakoir,7.95,6.94
Kaunia,29.31,28.55
Kazipur,14.80,12.45
Kurigram,26.05,23.34
Lakhpur,5.35,3.85
Mathura,9.60,7.79
Mirpur,5.50,3.97
Mymensingh,12.05,5.46
Narayanganj,5.05,3.20
Nayarhat,6.85,4.56
Noonkhawa,26.05,23.50
Pateswari,29.60,27.38
Porabari,11.80,9.88
Rekabi-Bazar,4.75,3.12
Saghata,18.50,16.45
Sariakandi,16.25,14.18
Serajganj,12.90,11.00
Shimulbari,17.75,12.83
Singra,12.20,10.70
Taraghat,7.95,5.36
Tongi,5.65,4.16
Atrai,13.25,11.11
Barisal,2.10,1.25
Bhagyakul,5.85,4.51
Bhusirbandar,39.15,34.98
C-Nawabganj,20.55,18.47
Chuadanga,11.60,6.83
Dinajpur,33.05,26.72
Faridpur,7.05,4.00
Goalondo,8.20,7.01
Gorai-RB,12.30,10.44
Hardinge-RB,13.80,11.97
Haridaspur,3.35,1.86
Hatboalia,14.05,8.44
Jhikargacha,4.65,2.99
Kalaroa,3.35,2.94
Kamarkhali,7.75,6.86
Khulna,2.60,2.10
Madaripur,3.75,2.90
Mawa,5.65,4.42
Mohadevpur,18.15,12.67
Mongla,1.60,1.62
Naogaon,14.80,11.20
Panchagarh,70.30,64.93
Pankha,22.05,20.48
Phulbari,29.50,25.21
Rajshahi,18.05,16.27
Rohanpur,21.55,18.49
Shakra,3.50,1.50
Sureshswar,4.00,2.92
Talbaria,13.05,11.40
Thakurgaon,49.95,45.76
Amalshid,15.40,15.46
B. Baria,5.05,4.31
Ballah,21.20,20.55
Bayderbazar,4.70,4.20
Bhairabbazar,5.80,4.22
Bijoypur,13.20,9.77
Chandpur,3.55,1.78
Comilla,11.30,11.79
Daulatkhan,2.95,2.42
Debidwar,8.05,7.57
Derai,6.55,5.80
Durgapur,12.55,8.73
Habiganj,9.05,6.10
Jariajanjail,10.55,8.43
Kalmakanda,6.55,6.28
Kamalganj,19.35,16.08
Kanaighat,12.75,12.45
Khaliajuri,6.55,5.59
Lourergorh,8.05,6.16
Manu-RB,17.55,14.87
Markuli,7.05,7.04
Meghna-Br,4.55,4.51
Moulvibazar,11.30,10.85
Muslimpur,7.75,6.68
Nakuagaon,21.95,17.31
Narsingdi,5.25,3.66
Sarighat,12.35,9.68
Sheola,13.05,13.00
Sherpur-Sylhet,8.55,8.51
Sunamganj,7.80,6.76
Sylhet,10.80,9.79
Bandarban,14.80,8.32
Chiringa,5.80,3.26
Chittagong,4.15,2.79
Dohazari,6.55,2.73
Lama,11.80,8.83
Narayanhat,14.80,11.00
Panchpukuria,9.05,6.91
Parshuram,12.55,-
Ramgarh,16.90,13.47
